Genus,Species,Abundance,ID,Date,Transect,Site
Cyphastrea,Cyphastrea microphthalma,1,109,1 /25/2005,2,South and Palfrey
Echinopora,Echinopora gemmacea,1,109,1 /25/2005,2,South and Palfrey
Echinopora,Echinopora lamellosa,1,109,1 /25/2005,2,South and Palfrey
Porites,Porites massive,12,109,1 /25/2005,2,South and Palfrey
Acropora,Acropora muricata,5,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora robusta,2,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora intermedia,3,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora hyacinthus,8,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora cuneata,10,110,1 /25/2005,3,South and Palfrey
Montipora,Montipora crassituberculata,1,110,1 /25/2005,3,South and Palfrey
Montipora,Montipora grisea,2,110,1 /25/2005,3,South and Palfrey
Pocillopora,Pocillopora damicornis,10,110,1 /25/2005,3,South and Palfrey
Hydnophora,Hydnophora microconos,2,110,1 /25/2005,3,South and Palfrey
Favites,Favites halicora,1,110,1 /25/2005,3,South and Palfrey
Favites,Favites abdita,2,110,1 /25/2005,3,South and Palfrey
Goniastrea,Goniastrea edwardsi,2,110,1 /25/2005,3,South and Palfrey
Goniastrea,Goniastrea retiformis,5,110,1 /25/2005,3,South and Palfrey
Goniastrea,Goniastrea aspera,1,110,1 /25/2005,3,South and Palfrey
Platygyra,Platygyra daedalea,1,110,1 /25/2005,3,South and Palfrey
Montastrea,Montastrea annuligera,1,110,1 /25/2005,3,South and Palfrey
Porites,Porites massive,9,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora gemmifera,2,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora fat dig,10,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora nasuta,2,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora valida,5,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora secale,1,110,1 /25/2005,3,South and Palfrey
Acropora,Acropora gemmifera,3,119,1 /26/2005,1,South and Palfrey
Acropora,Acropora fat dig,9,119,1 /26/2005,1,South and Palfrey
Acropora,Acropora nasuta,1,119,1 /26/2005,1,South and Palfrey
Acropora,Acropora valida,4,119,1 /26/2005,1,South and Palfrey
Acropora,Acropora muricata,5,119,1 /26/2005,1,South and Palfrey
Acropora,Acropora intermedia,3,119,1 /26/2005,1,South and Palfrey
Acropora,Acropora hyacinthus,14,119,1 /26/2005,1,South and Palfrey
Acropora,Acropora cuneata,1,119,1 /26/2005,1,South and Palfrey
Montipora,Montipora crassituberculata,2,119,1 /26/2005,1,South and Palfrey
Pocillopora,Pocillopora damicornis,3,119,1 /26/2005,1,South and Palfrey
Pocillopora,Pocillopora verrucosa,7,119,1 /26/2005,1,South and Palfrey
Galaxea,Galaxea fascicularis,1,119,1 /26/2005,1,South and Palfrey
Favia,Favia matthaii,1,119,1 /26/2005,1,South and Palfrey
Favites,Favites halicora,2,119,1 /26/2005,1,South and Palfrey
Favites,Favites abdita,2,119,1 /26/2005,1,South and Palfrey
Goniastrea,Goniastrea edwardsi,1,119,1 /26/2005,1,South and Palfrey
Goniastrea,Goniastrea retiformis,1,119,1 /26/2005,1,South and Palfrey
Platygyra,Platygyra sinensis,1,119,1 /26/2005,1,South and Palfrey
Platygyra,Platygyra daedalea,4,119,1 /26/2005,1,South and Palfrey
Porites,Porites massive,7,119,1 /26/2005,1,South and Palfrey
Acropora,Acropora humilis,1,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora fat dig,9,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora digitifera,4,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora nasuta,3,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora cerealis,1,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora intermedia,5,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora tenuis,1,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora millepora,2,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora spathulata,1,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora hyacinthus,8,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora cuneata,5,120,1 /26/2005,2,South and Palfrey
Montipora,Montipora crassituberculata,5,120,1 /26/2005,2,South and Palfrey
Pocillopora,Pocillopora damicornis,13,120,1 /26/2005,2,South and Palfrey
Hydnophora,Hydnophora microconos,1,120,1 /26/2005,2,South and Palfrey
Favia,Favia pallida,2,120,1 /26/2005,2,South and Palfrey
Favites,Favites halicora,3,120,1 /26/2005,2,South and Palfrey
Favites,Favites abdita,2,120,1 /26/2005,2,South and Palfrey
Goniastrea,Goniastrea edwardsi,1,120,1 /26/2005,2,South and Palfrey
Goniastrea,Goniastrea retiformis,10,120,1 /26/2005,2,South and Palfrey
Platygyra,Platygyra sinensis,1,120,1 /26/2005,2,South and Palfrey
Platygyra,Platygyra daedalea,3,120,1 /26/2005,2,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,1,120,1 /26/2005,2,South and Palfrey
Turbinaria,Turbinaria reniformis,1,120,1 /26/2005,2,South and Palfrey
Porites,Porites massive,16,120,1 /26/2005,2,South and Palfrey
Acropora,Acropora gemmifera,2,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora fat dig,3,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora nasuta,3,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora valida,6,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora muricata,3,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora intermedia,2,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora tenuis,1,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora spathulata,2,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora hyacinthus,8,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora cuneata,5,121,1 /26/2005,3,South and Palfrey
Pocillopora,Pocillopora damicornis,9,121,1 /26/2005,3,South and Palfrey
Galaxea,Galaxea fascicularis,1,121,1 /26/2005,3,South and Palfrey
Symphyllia,Symphyllia recta,1,121,1 /26/2005,3,South and Palfrey
Favites,Favites halicora,2,121,1 /26/2005,3,South and Palfrey
Favites,Favites abdita,5,121,1 /26/2005,3,South and Palfrey
Favites,Favites flexuosa,2,121,1 /26/2005,3,South and Palfrey
Goniastrea,Goniastrea retiformis,2,121,1 /26/2005,3,South and Palfrey
Platygyra,Platygyra daedalea,2,121,1 /26/2005,3,South and Palfrey
Leptoria,Leptoria phrygia,2,121,1 /26/2005,3,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,2,121,1 /26/2005,3,South and Palfrey
Turbinaria,Turbinaria reniformis,1,121,1 /26/2005,3,South and Palfrey
Porites,Porites massive,11,121,1 /26/2005,3,South and Palfrey
Acropora,Acropora gemmifera,4,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora fat dig,15,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora digitifera,1,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora nasuta,8,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora valida,3,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora muricata,1,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora robusta,4,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora millepora,1,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora spathulata,3,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora hyacinthus,15,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora cuneata,16,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora selago,1,122,1 /26/2005,4,South and Palfrey
Montipora,Montipora crassituberculata,1,122,1 /26/2005,4,South and Palfrey
Montipora,Montipora grisea,1,122,1 /26/2005,4,South and Palfrey
Montipora,Montipora caliculata,3,122,1 /26/2005,4,South and Palfrey
Pocillopora,Pocillopora damicornis,8,122,1 /26/2005,4,South and Palfrey
Pocillopora,Pocillopora verrucosa,5,122,1 /26/2005,4,South and Palfrey
Hydnophora,Hydnophora microconos,1,122,1 /26/2005,4,South and Palfrey
Symphyllia,Symphyllia radians,2,122,1 /26/2005,4,South and Palfrey
Symphyllia,Symphyllia agaricia,1,122,1 /26/2005,4,South and Palfrey
Symphyllia,Symphyllia recta,1,122,1 /26/2005,4,South and Palfrey
Favites,Favites halicora,2,122,1 /26/2005,4,South and Palfrey
Favites,Favites abdita,4,122,1 /26/2005,4,South and Palfrey
Goniastrea,Goniastrea edwardsi,1,122,1 /26/2005,4,South and Palfrey
Goniastrea,Goniastrea retiformis,12,122,1 /26/2005,4,South and Palfrey
Platygyra,Platygyra sinensis,2,122,1 /26/2005,4,South and Palfrey
Platygyra,Platygyra daedalea,2,122,1 /26/2005,4,South and Palfrey
Leptoria,Leptoria phrygia,3,122,1 /26/2005,4,South and Palfrey
Montastrea,Montastrea curta,1,122,1 /26/2005,4,South and Palfrey
Montastrea,Montastrea annuligera,1,122,1 /26/2005,4,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,1,122,1 /26/2005,4,South and Palfrey
Echinopora,Echinopora gemmacea,1,122,1 /26/2005,4,South and Palfrey
Coeloseris,Coeloseris mayeri,1,122,1 /26/2005,4,South and Palfrey
Platygyra,Platygyra verweyi,1,122,1 /26/2005,4,South and Palfrey
Porites,Porites massive,11,122,1 /26/2005,4,South and Palfrey
Acropora,Acropora gemmifera,2,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora fat dig,10,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora nasuta,3,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora valida,1,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora muricata,2,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora robusta,2,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora intermedia,1,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora millepora,2,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora hyacinthus,22,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora cuneata,9,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora selago,1,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora nana,1,123,1 /26/2005,5,South and Palfrey
Montipora,Montipora grisea,1,123,1 /26/2005,5,South and Palfrey
Pocillopora,Pocillopora damicornis,8,123,1 /26/2005,5,South and Palfrey
Pocillopora,Pocillopora verrucosa,2,123,1 /26/2005,5,South and Palfrey
Pocillopora,Pocillopora eydouxi,2,123,1 /26/2005,5,South and Palfrey
Hydnophora,Hydnophora microconos,1,123,1 /26/2005,5,South and Palfrey
Favia,Favia stelligera,1,123,1 /26/2005,5,South and Palfrey
Favia,Favia pallida,1,123,1 /26/2005,5,South and Palfrey
Favites,Favites halicora,2,123,1 /26/2005,5,South and Palfrey
Favites,Favites abdita,1,123,1 /26/2005,5,South and Palfrey
Goniastrea,Goniastrea retiformis,5,123,1 /26/2005,5,South and Palfrey
Platygyra,Platygyra pini,1,123,1 /26/2005,5,South and Palfrey
Platygyra,Platygyra daedalea,2,123,1 /26/2005,5,South and Palfrey
Platygyra,Platygyra lamellina,1,123,1 /26/2005,5,South and Palfrey
Porites,Porites massive,10,123,1 /26/2005,5,South and Palfrey
Lobophyllia,Lobophyllia hemprichii,1,123,1 /26/2005,5,South and Palfrey
Acropora,Acropora gemmifera,5,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora fat dig,30,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora monticulosa,2,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora digitifera,1,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora nasuta,3,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora valida,1,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora muricata,1,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora robusta,1,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora intermedia,2,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora tenuis,1,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora spathulata,2,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora hyacinthus,20,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora cytherea,1,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora cuneata,14,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora selago,2,140,1 /27/2005,1,South and Palfrey
Montipora,Montipora monasteriata,1,140,1 /27/2005,1,South and Palfrey
Montipora,Montipora grisea,2,140,1 /27/2005,1,South and Palfrey
Montipora,Montipora caliculata,3,140,1 /27/2005,1,South and Palfrey
Pocillopora,Pocillopora damicornis,9,140,1 /27/2005,1,South and Palfrey
Pocillopora,Pocillopora verrucosa,13,140,1 /27/2005,1,South and Palfrey
Pocillopora,Pocillopora eydouxi,1,140,1 /27/2005,1,South and Palfrey
Stylophora,Stylophora pistillata,1,140,1 /27/2005,1,South and Palfrey
Galaxea,Galaxea fascicularis,1,140,1 /27/2005,1,South and Palfrey
Hydnophora,Hydnophora microconos,2,140,1 /27/2005,1,South and Palfrey
Symphyllia,Symphyllia radians,1,140,1 /27/2005,1,South and Palfrey
Favia,Favia pallida,1,140,1 /27/2005,1,South and Palfrey
Favites,Favites pentagona,2,140,1 /27/2005,1,South and Palfrey
Favites,Favites halicora,4,140,1 /27/2005,1,South and Palfrey
Favites,Favites abdita,4,140,1 /27/2005,1,South and Palfrey
Favites,Favites flexuosa,1,140,1 /27/2005,1,South and Palfrey
Goniastrea,Goniastrea edwardsi,1,140,1 /27/2005,1,South and Palfrey
Goniastrea,Goniastrea retiformis,10,140,1 /27/2005,1,South and Palfrey
Platygyra,Platygyra pini,2,140,1 /27/2005,1,South and Palfrey
Platygyra,Platygyra daedalea,6,140,1 /27/2005,1,South and Palfrey
Montastrea,Montastrea curta,2,140,1 /27/2005,1,South and Palfrey
Leptastrea,Leptastrea purpurea,1,140,1 /27/2005,1,South and Palfrey
Coeloseris,Coeloseris mayeri,1,140,1 /27/2005,1,South and Palfrey
Cyphastrea,Cyphastrea chalcidicum,1,140,1 /27/2005,1,South and Palfrey
Porites,Porites massive,15,140,1 /27/2005,1,South and Palfrey
Acropora,Acropora gemmifera,2,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora fat dig,23,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora digitifera,3,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora nasuta,5,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora valida,1,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora lutkeni,1,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora robusta,2,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora spathulata,1,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora hyacinthus,25,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora cuneata,25,141,1 /27/2005,2,South and Palfrey
Montipora,Montipora grisea,1,141,1 /27/2005,2,South and Palfrey
Montipora,Montipora caliculata,2,141,1 /27/2005,2,South and Palfrey
Pocillopora,Pocillopora damicornis,9,141,1 /27/2005,2,South and Palfrey
Pocillopora,Pocillopora verrucosa,7,141,1 /27/2005,2,South and Palfrey
Pocillopora,Pocillopora eydouxi,2,141,1 /27/2005,2,South and Palfrey
Hydnophora,Hydnophora microconos,1,141,1 /27/2005,2,South and Palfrey
Symphyllia,Symphyllia recta,3,141,1 /27/2005,2,South and Palfrey
Favia,Favia stelligera,1,141,1 /27/2005,2,South and Palfrey
Favia,Favia pallida,1,141,1 /27/2005,2,South and Palfrey
Favites,Favites pentagona,1,141,1 /27/2005,2,South and Palfrey
Favites,Favites halicora,3,141,1 /27/2005,2,South and Palfrey
Favites,Favites abdita,5,141,1 /27/2005,2,South and Palfrey
Favites,Favites flexuosa,1,141,1 /27/2005,2,South and Palfrey
Goniastrea,Goniastrea edwardsi,1,141,1 /27/2005,2,South and Palfrey
Goniastrea,Goniastrea retiformis,18,141,1 /27/2005,2,South and Palfrey
Platygyra,Platygyra sinensis,1,141,1 /27/2005,2,South and Palfrey
Platygyra,Platygyra daedalea,6,141,1 /27/2005,2,South and Palfrey
Montastrea,Montastrea curta,2,141,1 /27/2005,2,South and Palfrey
Montastrea,Montastrea valenciennesi,1,141,1 /27/2005,2,South and Palfrey
Porites,Porites massive,9,141,1 /27/2005,2,South and Palfrey
Acropora,Acropora gemmifera,8,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora fat dig,21,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora digitifera,3,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora nasuta,7,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora valida,3,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora secale,1,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora robusta,3,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora intermedia,2,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora hyacinthus,19,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora cuneata,14,142,1 /27/2005,3,South and Palfrey
Pocillopora,Pocillopora damicornis,9,142,1 /27/2005,3,South and Palfrey
Pocillopora,Pocillopora verrucosa,3,142,1 /27/2005,3,South and Palfrey
Hydnophora,Hydnophora microconos,1,142,1 /27/2005,3,South and Palfrey
Symphyllia,Symphyllia recta,1,142,1 /27/2005,3,South and Palfrey
Favites,Favites pentagona,1,142,1 /27/2005,3,South and Palfrey
Favites,Favites halicora,3,142,1 /27/2005,3,South and Palfrey
Favites,Favites abdita,1,142,1 /27/2005,3,South and Palfrey
Favites,Favites flexuosa,2,142,1 /27/2005,3,South and Palfrey
Goniastrea,Goniastrea retiformis,9,142,1 /27/2005,3,South and Palfrey
Platygyra,Platygyra daedalea,1,142,1 /27/2005,3,South and Palfrey
Montastrea,Montastrea curta,1,142,1 /27/2005,3,South and Palfrey
Goniastrea,Goniastrea favulus,1,142,1 /27/2005,3,South and Palfrey
Porites,Porites massive,7,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora lutkeni,2,142,1 /27/2005,3,South and Palfrey
Acropora,Acropora gemmifera,2,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora fat dig,11,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora nasuta,6,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora valida,6,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora muricata,3,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora intermedia,4,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora millepora,2,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora spathulata,1,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora hyacinthus,11,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora cuneata,17,143,1 /27/2005,4,South and Palfrey
Montipora,Montipora crassituberculata,1,143,1 /27/2005,4,South and Palfrey
Montipora,Montipora grisea,1,143,1 /27/2005,4,South and Palfrey
Montipora,Montipora caliculata,2,143,1 /27/2005,4,South and Palfrey
Pocillopora,Pocillopora damicornis,7,143,1 /27/2005,4,South and Palfrey
Pocillopora,Pocillopora verrucosa,3,143,1 /27/2005,4,South and Palfrey
Galaxea,Galaxea fascicularis,2,143,1 /27/2005,4,South and Palfrey
Symphyllia,Symphyllia radians,1,143,1 /27/2005,4,South and Palfrey
Favia,Favia stelligera,1,143,1 /27/2005,4,South and Palfrey
Favia,Favia pallida,1,143,1 /27/2005,4,South and Palfrey
Favites,Favites halicora,1,143,1 /27/2005,4,South and Palfrey
Favites,Favites abdita,2,143,1 /27/2005,4,South and Palfrey
Goniastrea,Goniastrea retiformis,10,143,1 /27/2005,4,South and Palfrey
Goniastrea,Goniastrea aspera,1,143,1 /27/2005,4,South and Palfrey
Platygyra,Platygyra pini,2,143,1 /27/2005,4,South and Palfrey
Platygyra,Platygyra daedalea,1,143,1 /27/2005,4,South and Palfrey
Platygyra,Platygyra lamellina,1,143,1 /27/2005,4,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,3,143,1 /27/2005,4,South and Palfrey
Montastrea,Montastrea valenciennesi,2,143,1 /27/2005,4,South and Palfrey
Porites,Porites massive,20,143,1 /27/2005,4,South and Palfrey
Acropora,Acropora humilis,1,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora gemmifera,1,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora fat dig,15,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora digitifera,1,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora nasuta,6,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora valida,11,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora muricata,3,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora intermedia,1,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora tenuis,1,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora millepora,2,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora hyacinthus,10,144,1 /27/2005,5,South and Palfrey
Acropora,Acropora cuneata,18,144,1 /27/2005,5,South and Palfrey
Montipora,Montipora caliculata,1,144,1 /27/2005,5,South and Palfrey
Pocillopora,Pocillopora damicornis,11,144,1 /27/2005,5,South and Palfrey
Pocillopora,Pocillopora verrucosa,3,144,1 /27/2005,5,South and Palfrey
Hydnophora,Hydnophora exesa,1,144,1 /27/2005,5,South and Palfrey
Hydnophora,Hydnophora microconos,3,144,1 /27/2005,5,South and Palfrey
Symphyllia,Symphyllia radians,1,144,1 /27/2005,5,South and Palfrey
Symphyllia,Symphyllia recta,3,144,1 /27/2005,5,South and Palfrey
Favia,Favia pallida,3,144,1 /27/2005,5,South and Palfrey
Favites,Favites pentagona,3,144,1 /27/2005,5,South and Palfrey
Favites,Favites halicora,5,144,1 /27/2005,5,South and Palfrey
Favites,Favites abdita,1,144,1 /27/2005,5,South and Palfrey
Goniastrea,Goniastrea edwardsi,2,144,1 /27/2005,5,South and Palfrey
Goniastrea,Goniastrea retiformis,9,144,1 /27/2005,5,South and Palfrey
Platygyra,Platygyra pini,2,144,1 /27/2005,5,South and Palfrey
Platygyra,Platygyra sinensis,1,144,1 /27/2005,5,South and Palfrey
Leptoria,Leptoria phrygia,1,144,1 /27/2005,5,South and Palfrey
Turbinaria,Turbinaria reniformis,1,144,1 /27/2005,5,South and Palfrey
Porites,Porites massive,18,144,1 /27/2005,5,South and Palfrey
Favia,Favia pallida,3,160,1 /28/2005,1,South and Palfrey
Favites,Favites pentagona,1,160,1 /28/2005,1,South and Palfrey
Favites,Favites halicora,3,160,1 /28/2005,1,South and Palfrey
Favites,Favites abdita,3,160,1 /28/2005,1,South and Palfrey
Goniastrea,Goniastrea retiformis,1,160,1 /28/2005,1,South and Palfrey
Platygyra,Platygyra pini,3,160,1 /28/2005,1,South and Palfrey
Platygyra,Platygyra daedalea,2,160,1 /28/2005,1,South and Palfrey
Leptoria,Leptoria phrygia,4,160,1 /28/2005,1,South and Palfrey
Cyphastrea,Cyphastrea microphthalma,1,160,1 /28/2005,1,South and Palfrey
Cyphastrea,Cyphastrea chalcidicum,1,160,1 /28/2005,1,South and Palfrey
Porites,Porites massive,13,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora gemmifera,4,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora fat dig,5,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora digitifera,1,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora nasuta,6,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora cerealis,1,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora muricata,2,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora intermedia,7,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora tenuis,2,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora millepora,1,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora spathulata,1,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora sarmentosa,1,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora hyacinthus,13,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora cuneata,7,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora selago,1,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora aspera,1,160,1 /28/2005,1,South and Palfrey
Montipora,Montipora monasteriata,1,160,1 /28/2005,1,South and Palfrey
Pocillopora,Pocillopora damicornis,12,160,1 /28/2005,1,South and Palfrey
Pocillopora,Pocillopora verrucosa,1,160,1 /28/2005,1,South and Palfrey
Stylophora,Stylophora pistillata,1,160,1 /28/2005,1,South and Palfrey
Coscinaraea,Coscinaraea exesa,1,160,1 /28/2005,1,South and Palfrey
Hydnophora,Hydnophora microconos,1,160,1 /28/2005,1,South and Palfrey
Seriatopora,Seriatopora hystrix,1,160,1 /28/2005,1,South and Palfrey
Symphyllia,Symphyllia radians,1,160,1 /28/2005,1,South and Palfrey
Symphyllia,Symphyllia recta,1,160,1 /28/2005,1,South and Palfrey
Favia,Favia stelligera,1,160,1 /28/2005,1,South and Palfrey
Acropora,Acropora gemmifera,1,161,1 /28/2005,2,South and Palfrey
Acropora,Acropora nasuta,3,161,1 /28/2005,2,South and Palfrey
Acropora,Acropora cerealis,1,161,1 /28/2005,2,South and Palfrey
Acropora,Acropora muricata,3,161,1 /28/2005,2,South and Palfrey
Acropora,Acropora hyacinthus,3,161,1 /28/2005,2,South and Palfrey
