"","ID","species","N","cover","year","tran","spp","morphology","abundance_05"
"116","Trimodal_2014_2","Goniastrea pectinata",0,0,2014,"2","Gpe","massive",135
"117","Trimodal_2014_3","Goniastrea pectinata",0,0,2014,"3","Gpe","massive",135
"118","Trimodal_2014_4","Goniastrea pectinata",0,0,2014,"4","Gpe","massive",135
"119","Trimodal_2014_5","Goniastrea pectinata",0,0,2014,"5","Gpe","massive",135
"120","Trimodal_2014_6","Goniastrea pectinata",0,0,2014,"6","Gpe","massive",135
"121","Trimodal_2011_1","Goniastrea retiformis",2,1.8,2011,"1","Gre","massive",2938
"122","Trimodal_2011_2","Goniastrea retiformis",1,0.5,2011,"2","Gre","massive",2938
"123","Trimodal_2011_3","Goniastrea retiformis",0,0,2011,"3","Gre","massive",2938
"124","Trimodal_2011_4","Goniastrea retiformis",2,3,2011,"4","Gre","massive",2938
"125","Trimodal_2011_5","Goniastrea retiformis",2,1.9,2011,"5","Gre","massive",2938
"126","Trimodal_2011_6","Goniastrea retiformis",4,7.4,2011,"6","Gre","massive",2938
"127","Trimodal_2014_1","Goniastrea retiformis",1,0.5,2014,"1","Gre","massive",2938
"128","Trimodal_2014_2","Goniastrea retiformis",1,0.7,2014,"2","Gre","massive",2938
"129","Trimodal_2014_3","Goniastrea retiformis",2,1.2,2014,"3","Gre","massive",2938
"130","Trimodal_2014_4","Goniastrea retiformis",0,0,2014,"4","Gre","massive",2938
"131","Trimodal_2014_5","Goniastrea retiformis",0,0,2014,"5","Gre","massive",2938
"132","Trimodal_2014_6","Goniastrea retiformis",2,5.9,2014,"6","Gre","massive",2938
